x1,x2,x3,x4,x5,x6,x7,math
11.0,2.0,29.0,19.0,4.0,0.0,-0.0,113.0
-6.0,-7.0,28.0,17.0,2.0,2.0,-0.0,89.0
16.0,4.0,29.0,18.0,4.0,0.0,1.0,117.0
9.0,2.0,26.0,17.0,3.0,2.0,2.0,118.0
18.0,5.0,29.0,19.0,5.0,-2.0,-2.0,116.0
1.0,2.0,28.0,21.0,0.0,-2.0,-0.0,92.0
12.0,7.0,28.0,16.0,5.0,3.0,1.0,119.0
11.0,9.0,27.0,16.0,4.0,2.0,1.0,120.0
13.0,0.0,29.0,16.0,5.0,-3.0,-0.0,110.0
8.0,2.0,27.0,18.0,5.0,1.0,0.0,113.0
-4.0,9.0,30.0,18.0,10.0,8.0,2.0,112.0
-2.0,-8.0,25.0,15.0,6.0,1.0,1.0,110.0
8.0,1.0,27.0,15.0,6.0,1.0,-0.0,116.0
-9.0,3.0,26.0,17.0,9.0,8.0,6.0,116.0
-5.0,11.0,30.0,19.0,8.0,7.0,4.0,108.0
-3.0,10.0,27.0,18.0,9.0,6.0,3.0,117.0
-1.0,-8.0,28.0,17.0,3.0,0.0,1.0,97.0
-8.0,-14.0,24.0,16.0,4.0,-1.0,1.0,93.0
1.0,1.0,8.0,7.0,1.0,0.0,0.0,144.0
-5.0,9.0,30.0,20.0,11.0,10.0,5.0,116.0
-6.0,1.0,30.0,17.0,7.0,3.0,2.0,95.0
11.0,2.0,31.0,21.0,4.0,-1.0,0.0,105.0
1.0,1.0,8.0,7.0,1.0,0.0,0.0,143.0
-2.0,-5.0,28.0,16.0,7.0,-1.0,-2.0,94.0
11.0,-0.0,29.0,18.0,4.0,2.0,0.0,115.0
-4.0,0.0,25.0,19.0,6.0,7.0,3.0,114.0
12.0,3.0,27.0,18.0,6.0,-0.0,1.0,120.0
-2.0,-4.0,28.0,20.0,3.0,1.0,1.0,96.0
-2.0,-9.0,23.0,16.0,1.0,0.0,0.0,107.0
-4.0,3.0,23.0,16.0,6.0,4.0,3.0,120.0
12.0,7.0,28.0,19.0,3.0,2.0,1.0,119.0
10.0,6.0,25.0,18.0,4.0,0.0,2.0,120.0
1.0,-7.0,23.0,16.0,2.0,-1.0,-1.0,107.0
10.0,8.0,26.0,17.0,5.0,1.0,-1.0,122.0
-3.0,-1.0,30.0,19.0,9.0,4.0,3.0,102.0
10.0,2.0,28.0,18.0,6.0,-0.0,2.0,115.0
20.0,11.0,29.0,17.0,6.0,-0.0,-2.0,126.0
12.0,13.0,27.0,18.0,4.0,-1.0,-1.0,116.0
-2.0,1.0,31.0,19.0,7.0,6.0,5.0,104.0
15.0,11.0,28.0,18.0,4.0,2.0,1.0,126.0
8.0,2.0,29.0,19.0,5.0,1.0,-0.0,109.0
-2.0,3.0,27.0,15.0,7.0,6.0,5.0,116.0
-7.0,-4.0,30.0,19.0,5.0,2.0,4.0,91.0
-8.0,3.0,29.0,19.0,9.0,8.0,5.0,108.0
-7.0,3.0,21.0,21.0,-0.0,3.0,2.0,108.0
1.0,-8.0,26.0,17.0,1.0,0.0,2.0,102.0
9.0,2.0,24.0,16.0,6.0,2.0,1.0,125.0
-1.0,-9.0,27.0,16.0,1.0,3.0,3.0,101.0
-1.0,0.0,18.0,20.0,2.0,3.0,2.0,126.0
-6.0,-12.0,25.0,16.0,3.0,5.0,3.0,105.0
8.0,1.0,30.0,20.0,4.0,1.0,2.0,107.0
1.0,1.0,8.0,7.0,1.0,0.0,0.0,146.0
-5.0,1.0,30.0,18.0,3.0,1.0,3.0,91.0
-6.0,14.0,31.0,20.0,10.0,9.0,5.0,112.0
-10.0,9.0,30.0,21.0,10.0,9.0,6.0,109.0
9.0,3.0,25.0,17.0,4.0,3.0,1.0,125.0
-9.0,-7.0,27.0,17.0,3.0,5.0,3.0,98.0
10.0,11.0,30.0,20.0,4.0,-0.0,-1.0,109.0
10.0,1.0,30.0,18.0,4.0,-1.0,-0.0,106.0
-11.0,1.0,27.0,18.0,9.0,7.0,4.0,107.0
8.0,0.0,28.0,18.0,5.0,0.0,1.0,113.0
-4.0,-9.0,26.0,15.0,6.0,2.0,2.0,105.0
-6.0,-13.0,24.0,16.0,3.0,4.0,3.0,107.0
12.0,16.0,32.0,18.0,4.0,1.0,1.0,108.0
2.0,1.0,12.0,9.0,2.0,0.0,1.0,140.0
10.0,2.0,26.0,17.0,3.0,-0.0,1.0,116.0
-10.0,-14.0,26.0,15.0,-0.0,-0.0,1.0,84.0
11.0,12.0,26.0,18.0,1.0,-1.0,-2.0,113.0
-1.0,2.0,21.0,22.0,4.0,2.0,1.0,116.0
-4.0,-12.0,23.0,16.0,2.0,4.0,3.0,111.0
-2.0,-8.0,27.0,13.0,5.0,4.0,5.0,110.0
11.0,4.0,23.0,16.0,5.0,0.0,1.0,127.0
-1.0,-13.0,26.0,17.0,5.0,2.0,2.0,108.0
13.0,4.0,27.0,15.0,6.0,-2.0,-0.0,115.0
17.0,14.0,27.0,15.0,7.0,0.0,-2.0,124.0
13.0,7.0,27.0,18.0,3.0,-1.0,-1.0,119.0
10.0,7.0,30.0,19.0,6.0,0.0,-1.0,113.0
16.0,11.0,29.0,16.0,4.0,-2.0,-2.0,112.0
11.0,12.0,24.0,16.0,5.0,2.0,-1.0,130.0
-0.0,5.0,29.0,17.0,5.0,3.0,1.0,101.0
-3.0,-8.0,25.0,18.0,-1.0,-2.0,1.0,93.0
10.0,4.0,26.0,17.0,5.0,2.0,2.0,119.0
0.0,-11.0,28.0,16.0,-0.0,-0.0,-0.0,96.0
-0.0,-8.0,26.0,18.0,-0.0,0.0,2.0,101.0
-6.0,-4.0,23.0,18.0,-0.0,-1.0,1.0,94.0
-4.0,-13.0,25.0,16.0,1.0,2.0,3.0,103.0
-1.0,12.0,24.0,26.0,2.0,2.0,-1.0,109.0
1.0,1.0,8.0,7.0,1.0,0.0,0.0,145.0
2.0,-2.0,27.0,15.0,2.0,-4.0,-1.0,95.0
-3.0,3.0,30.0,19.0,9.0,7.0,5.0,109.0
-6.0,4.0,25.0,19.0,9.0,7.0,4.0,118.0
14.0,5.0,26.0,17.0,1.0,-1.0,2.0,121.0
10.0,12.0,30.0,17.0,6.0,2.0,-0.0,115.0
-0.0,4.0,22.0,14.0,-0.0,-0.0,-0.0,106.0
-2.0,-1.0,24.0,17.0,2.0,5.0,4.0,113.0
11.0,11.0,28.0,18.0,3.0,-2.0,-1.0,109.0
12.0,12.0,25.0,16.0,3.0,2.0,-1.0,125.0
-9.0,-11.0,20.0,15.0,3.0,1.0,2.0,106.0
-6.0,1.0,28.0,17.0,9.0,7.0,5.0,111.0
-9.0,8.0,31.0,22.0,9.0,9.0,4.0,104.0
0.0,-2.0,23.0,18.0,-0.0,-0.0,2.0,109.0
10.0,8.0,26.0,17.0,4.0,1.0,1.0,118.0
13.0,15.0,30.0,20.0,1.0,1.0,1.0,112.0
13.0,10.0,30.0,19.0,3.0,2.0,1.0,117.0
-3.0,-13.0,26.0,17.0,-1.0,0.0,1.0,94.0
13.0,1.0,29.0,18.0,7.0,-1.0,0.0,116.0
1.0,1.0,8.0,7.0,1.0,0.0,0.0,145.0
-0.0,3.0,26.0,19.0,1.0,-1.0,2.0,99.0
14.0,2.0,29.0,17.0,4.0,1.0,2.0,117.0
-1.0,-5.0,25.0,18.0,4.0,4.0,4.0,112.0
1.0,1.0,8.0,7.0,1.0,0.0,0.0,145.0
10.0,2.0,29.0,19.0,2.0,1.0,0.0,108.0
11.0,15.0,31.0,16.0,5.0,-0.0,1.0,109.0
14.0,6.0,29.0,17.0,3.0,2.0,1.0,121.0
9.0,5.0,26.0,16.0,4.0,-1.0,0.0,115.0
11.0,10.0,25.0,15.0,4.0,1.0,-0.0,123.0
13.0,4.0,27.0,18.0,2.0,1.0,0.0,116.0
10.0,9.0,27.0,19.0,8.0,-1.0,-0.0,116.0
-4.0,5.0,30.0,20.0,9.0,9.0,5.0,114.0
-6.0,-3.0,22.0,16.0,1.0,-1.0,1.0,99.0
-5.0,-10.0,26.0,19.0,1.0,-0.0,-1.0,93.0
1.0,2.0,25.0,17.0,2.0,-2.0,2.0,101.0
11.0,1.0,28.0,16.0,3.0,-0.0,0.0,111.0
11.0,8.0,29.0,21.0,3.0,-1.0,0.0,108.0
-2.0,11.0,24.0,17.0,3.0,4.0,0.0,109.0
13.0,15.0,30.0,17.0,6.0,-3.0,-3.0,112.0
15.0,2.0,31.0,16.0,6.0,-0.0,2.0,113.0
-5.0,-13.0,26.0,17.0,1.0,-1.0,1.0,92.0
8.0,1.0,29.0,18.0,7.0,-0.0,1.0,108.0
